ligand,receptor,sign,category,context_dependent,db_sign,agreement,confidence,source,notes,db_stim,db_inhib
CD274,PDCD1,-1,checkpoint_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,PD-L1/PD-1 T-cell exhaustion,1,0
PDCD1LG2,PDCD1,-1,checkpoint_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,PD-L2/PD-1,1,0
CD80,CTLA4,-1,checkpoint_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,B7-1/CTLA4 inhibitory (note CD80/CD28 is +),1,0
CD86,CTLA4,-1,checkpoint_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,B7-2/CTLA4 inhibitory (note CD86/CD28 is +),1,0
PVR,TIGIT,-1,checkpoint_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,CD155/TIGIT inhibitory (note PVR/CD226 is +),1,0
NECTIN2,TIGIT,-1,checkpoint_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,CD112/TIGIT (note NECTIN2/CD226 is +),1,0
PVR,CD96,-1,checkpoint_inhibitory,TRUE,0,db_ambiguous,curated_only,curated+omnipath,CD155/CD96 context-dependent,0,0
LGALS9,HAVCR2,-1,checkpoint_inhibitory,FALSE,0,db_ambiguous,curated_only,curated+omnipath,Galectin-9/TIM3 exhaustion,0,0
CEACAM1,HAVCR2,-1,checkpoint_inhibitory,FALSE,0,db_ambiguous,curated_only,curated+omnipath,CEACAM1/TIM3,0,0
HMGB1,HAVCR2,-1,checkpoint_inhibitory,TRUE,0,db_ambiguous,curated_only,curated+omnipath,HMGB1/TIM3 context,0,0
FGL1,LAG3,-1,checkpoint_inhibitory,FALSE,0,db_ambiguous,curated_only,curated+omnipath,FGL1/LAG3,0,0
LGALS3,LAG3,-1,checkpoint_inhibitory,TRUE,0,db_ambiguous,curated_only,curated+omnipath,Galectin-3/LAG3 context,0,0
BTLA,TNFRSF14,-1,checkpoint_inhibitory,FALSE,0,db_ambiguous,curated_only,curated+omnipath,BTLA/HVEM inhibitory,0,0
CD160,TNFRSF14,-1,checkpoint_inhibitory,TRUE,0,db_ambiguous,curated_only,curated+omnipath,CD160/HVEM context,0,0
IGSF11,VSIR,-1,checkpoint_inhibitory,FALSE,0,db_ambiguous,curated_only,curated+omnipath,VSIG3/VISTA inhibitory,0,0
CD47,SIRPA,-1,checkpoint_inhibitory,FALSE,0,db_ambiguous,curated_only,curated+omnipath,don't-eat-me; inhibits macrophage phagocytosis,0,0
HLA-E,KLRC1,-1,nk_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,HLA-E/NKG2A inhibitory,1,0
HLA-C,KIR2DL1,-1,nk_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,HLA-C/inhibitory KIR,1,0
HLA-C,KIR2DL3,-1,nk_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,HLA-C/inhibitory KIR,1,0
HLA-B,KIR3DL1,-1,nk_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,HLA-B/inhibitory KIR,1,0
HLA-A,LILRB1,-1,nk_inhibitory,FALSE,0,db_ambiguous,curated_only,curated+omnipath,HLA-A/LILRB1 inhibitory,0,0
HLA-G,LILRB1,-1,nk_inhibitory,FALSE,1,conflict,expected_override,curated+omnipath,HLA-G/LILRB1 inhibitory,1,0
HLA-G,KIR2DL4,-1,nk_inhibitory,TRUE,1,conflict,expected_override,curated+omnipath,HLA-G/KIR2DL4 context,1,0
FASLG,FAS,-1,death,FALSE,0,db_ambiguous,curated_only,curated+omnipath,death induction; molecular=stimulation but cellular outcome=death (override),1,1
TNFSF10,TNFRSF10A,-1,death,FALSE,1,conflict,expected_override,curated+omnipath,TRAIL/DR4 apoptosis (override: molecular agonist),1,0
TNFSF10,TNFRSF10B,-1,death,FALSE,1,conflict,expected_override,curated+omnipath,TRAIL/DR5 apoptosis (override: molecular agonist),1,0
TNF,TNFRSF1B,-1,death,TRUE,1,conflict,expected_override,curated+omnipath,TNF/TNFR2 context (can be survival),1,0
TGFB1,TGFBR1,-1,suppressive_cytokine,TRUE,1,conflict,expected_override,curated+omnipath,TGFb immunosuppressive (context: pro-fibrotic),1,0
TGFB1,TGFBR2,-1,suppressive_cytokine,TRUE,1,conflict,expected_override,curated+omnipath,TGFb immunosuppressive,1,0
TGFB2,TGFBR1,-1,suppressive_cytokine,TRUE,1,conflict,expected_override,curated+omnipath,TGFb immunosuppressive,1,0
TGFB3,TGFBR1,-1,suppressive_cytokine,TRUE,1,conflict,expected_override,curated+omnipath,TGFb immunosuppressive,1,0
IL10,IL10RA,-1,suppressive_cytokine,FALSE,1,conflict,expected_override,curated+omnipath,IL10 immunosuppressive,1,0
IL10,IL10RB,-1,suppressive_cytokine,FALSE,1,conflict,expected_override,curated+omnipath,IL10 immunosuppressive,1,0
IL4,IL4R,-1,suppressive_cytokine,TRUE,1,conflict,expected_override,curated+omnipath,Th2/M2 polarization context,1,0
IL13,IL13RA1,-1,suppressive_cytokine,TRUE,1,conflict,expected_override,curated+omnipath,M2 polarization context,1,0
CSF1,CSF1R,-1,suppressive_cytokine,TRUE,1,conflict,expected_override,curated+omnipath,TAM/M2 polarization immunosuppressive,1,0
VEGFA,FLT1,-1,suppressive_cytokine,TRUE,1,conflict,expected_override,curated+omnipath,VEGF/VEGFR1 immunosuppressive on myeloid (note VEGFA/KDR is +),1,0
CXCL12,CXCR4,-1,suppressive_cytokine,TRUE,1,conflict,expected_override,curated+omnipath,CXCL12/CXCR4 pro-tumor retention in TME (context),1,0
CD80,CD28,1,costimulation,FALSE,1,match,high,curated+omnipath,B7-1/CD28 T-cell costimulation,1,0
CD86,CD28,1,costimulation,FALSE,1,match,high,curated+omnipath,B7-2/CD28 T-cell costimulation,1,0
ICOSLG,ICOS,1,costimulation,FALSE,1,match,high,curated+omnipath,ICOSL/ICOS costimulation,1,0
CD40LG,CD40,1,costimulation,FALSE,1,match,high,curated+omnipath,CD40L/CD40 DC licensing,1,0
TNFSF9,TNFRSF9,1,costimulation,FALSE,1,match,high,curated+omnipath,4-1BBL/4-1BB costimulation,1,0
TNFSF4,TNFRSF4,1,costimulation,FALSE,1,match,high,curated+omnipath,OX40L/OX40 costimulation,1,0
CD70,CD27,1,costimulation,FALSE,1,match,high,curated+omnipath,CD70/CD27 costimulation,1,0
TNFSF18,TNFRSF18,1,costimulation,FALSE,1,match,high,curated+omnipath,GITRL/GITR costimulation,1,0
TNFSF14,TNFRSF14,1,costimulation,TRUE,1,match,high,curated+omnipath,LIGHT/HVEM activating (context),1,0
CD58,CD2,1,costimulation,FALSE,0,db_ambiguous,curated_only,curated+omnipath,LFA-3/CD2 adhesion-costimulation,1,1
NECTIN2,CD226,1,costimulation,FALSE,1,match,high,curated+omnipath,CD112/DNAM-1 activating,1,0
PVR,CD226,1,costimulation,FALSE,1,match,high,curated+omnipath,CD155/DNAM-1 activating,1,0
IL2,IL2RA,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL2/IL2RA T-cell activation,1,0
IL2,IL2RB,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL2/IL2RB,1,0
IL12A,IL12RB1,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL12/IL12RB1 Th1 activation,1,0
IL12B,IL12RB2,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL12/IL12RB2,1,0
IL15,IL2RB,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL15/IL2RB NK/CD8 activation,1,0
IL15,IL15RA,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL15/IL15RA,1,0
IL18,IL18R1,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL18/IL18R1 activation,1,0
IL21,IL21R,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL21/IL21R,1,0
IFNG,IFNGR1,1,activating_cytokine,TRUE,1,match,high,curated+omnipath,IFNg activates effectors (context: induces PD-L1),1,0
IFNG,IFNGR2,1,activating_cytokine,TRUE,1,match,high,curated+omnipath,IFNg activates effectors,1,0
IFNA1,IFNAR1,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,type-I IFN activation,1,0
IFNB1,IFNAR1,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,type-I IFN activation,1,0
IL1B,IL1R1,1,activating_cytokine,TRUE,1,match,high,curated+omnipath,IL1b pro-inflammatory (context),1,0
TNF,TNFRSF1A,1,activating_cytokine,TRUE,1,match,high,curated+omnipath,TNF/TNFR1 NFkB activation (context vs death),1,0
CXCL9,CXCR3,1,chemokine,FALSE,1,match,high,curated+omnipath,CXCL9/CXCR3 effector T recruitment,1,0
CXCL10,CXCR3,1,chemokine,FALSE,1,match,high,curated+omnipath,CXCL10/CXCR3 effector T recruitment,1,0
CXCL11,CXCR3,1,chemokine,FALSE,1,match,high,curated+omnipath,CXCL11/CXCR3 effector T recruitment,1,0
CCL5,CCR5,1,chemokine,FALSE,1,match,high,curated+omnipath,CCL5/CCR5 effector recruitment,1,0
CCL3,CCR5,1,chemokine,FALSE,1,match,high,curated+omnipath,CCL3/CCR5 recruitment,1,0
CCL4,CCR5,1,chemokine,FALSE,1,match,high,curated+omnipath,CCL4/CCR5 recruitment,1,0
CXCL16,CXCR6,1,chemokine,FALSE,1,match,high,curated+omnipath,CXCL16/CXCR6 tissue-resident T,1,0
XCL1,XCR1,1,chemokine,FALSE,1,match,high,curated+omnipath,XCL1/XCR1 cDC1 recruitment,1,0
CCL19,CCR7,1,chemokine,FALSE,1,match,high,curated+omnipath,CCL19/CCR7 naive/DC homing,1,0
CCL21,CCR7,1,chemokine,FALSE,1,match,high,curated+omnipath,CCL21/CCR7 homing,1,0
CXCL13,CXCR5,1,chemokine,FALSE,1,match,high,curated+omnipath,CXCL13/CXCR5 tertiary lymphoid structures,1,0
EGF,EGFR,1,growth_survival,FALSE,1,match,high,curated+omnipath,EGF/EGFR proliferation,1,0
TGFA,EGFR,1,growth_survival,FALSE,1,match,high,curated+omnipath,TGFa/EGFR proliferation,1,0
HBEGF,EGFR,1,growth_survival,FALSE,1,match,high,curated+omnipath,HB-EGF/EGFR,1,0
AREG,EGFR,1,growth_survival,FALSE,1,match,high,curated+omnipath,Amphiregulin/EGFR,1,0
IGF1,IGF1R,1,growth_survival,FALSE,1,match,high,curated+omnipath,IGF1/IGF1R survival/proliferation,1,0
IGF2,IGF1R,1,growth_survival,FALSE,1,match,high,curated+omnipath,IGF2/IGF1R,1,0
PDGFA,PDGFRA,1,growth_survival,FALSE,1,match,high,curated+omnipath,PDGF/PDGFRA stroma proliferation,1,0
PDGFB,PDGFRB,1,growth_survival,FALSE,1,match,high,curated+omnipath,PDGF/PDGFRB,1,0
FGF2,FGFR1,1,growth_survival,FALSE,1,match,high,curated+omnipath,FGF2/FGFR1 proliferation,1,0
HGF,MET,1,growth_survival,FALSE,1,match,high,curated+omnipath,HGF/MET survival/invasion,1,0
VEGFA,KDR,1,growth_survival,FALSE,0,db_ambiguous,curated_only,curated+omnipath,VEGF/VEGFR2 angiogenesis (note VEGFA/FLT1 is -),1,1
TNFSF13B,TNFRSF13B,1,growth_survival,TRUE,1,match,high,curated+omnipath,BAFF/TACI B-cell survival,1,0
MICA,KLRK1,1,nk_activating,FALSE,0,db_ambiguous,curated_only,curated+omnipath,MICA/NKG2D NK activation,0,0
MICB,KLRK1,1,nk_activating,FALSE,1,match,high,curated+omnipath,MICB/NKG2D NK activation,1,0
ULBP1,KLRK1,1,nk_activating,FALSE,1,match,high,curated+omnipath,ULBP1/NKG2D NK activation,1,0
NCR3LG1,NCR3,1,nk_activating,FALSE,1,match,high,curated+omnipath,B7-H6/NKp30 NK activation,1,0
