"edge","polarity","lr_name","score","share","rank","sender_name","receiver_name","sign"
"Bcell->Bcell","neg","IL10_IL10RA",1.58426390499194,0.502523511446127,1,"Bcell","Bcell",-1
"Bcell->Bcell","neg","LGALS9_HAVCR2",1.51120023950082,0.479347947308087,2,"Bcell","Bcell",-1
"Bcell->Bcell","neg","TGFB1_TGFBR1",0.0401157198167936,0.0127245797388956,3,"Bcell","Bcell",-1
"Bcell->Bcell","neg","PVR_TIGIT",0.0126353708311548,0.00400789975615091,4,"Bcell","Bcell",-1
"Bcell->Bcell","neg","CD274_PDCD1",0.00343548512041512,0.00108972503936502,5,"Bcell","Bcell",-1
"Bcell->Bcell","neg","FASLG_FAS",0.00096576216545105,0.000306336711374325,6,"Bcell","Bcell",-1
"Bcell->Bcell","pos","CCL5_CCR5",0.175917111067831,0.332700582041515,1,"Bcell","Bcell",1
"Bcell->Bcell","pos","IFNG_IFNGR1",0.143007135800171,0.270460087867525,2,"Bcell","Bcell",1
"Bcell->Bcell","pos","IL12A_IL12RB1",0.132369989577836,0.250342745569499,3,"Bcell","Bcell",1
"Bcell->Bcell","pos","CD86_CD28",0.0543691225094628,0.102824782616001,4,"Bcell","Bcell",1
"Bcell->Bcell","pos","CD80_CD28",0.0217597548583716,0.0411528080612321,5,"Bcell","Bcell",1
"Bcell->Bcell","pos","CXCL9_CXCR3",0.00133193070223999,0.00251899384422782,6,"Bcell","Bcell",1
"Bcell->CAF","neg","LGALS9_HAVCR2",0.520064027216769,0.774778440371733,1,"Bcell","CAF",-1
"Bcell->CAF","neg","TGFB1_TGFBR1",0.132924077167833,0.198026980922138,2,"Bcell","CAF",-1
"Bcell->CAF","neg","FASLG_FAS",0.0127664636823382,0.0190191597634604,3,"Bcell","CAF",-1
"Bcell->CAF","neg","PVR_TIGIT",0.00548768664428571,0.00817541894266856,4,"Bcell","CAF",-1
"Bcell->CAF","pos","IFNG_IFNGR1",0.192300497095354,0.65224850939181,1,"Bcell","CAF",1
"Bcell->CAF","pos","IL12A_IL12RB1",0.0738826558828125,0.250596607379424,2,"Bcell","CAF",1
"Bcell->CAF","pos","CD86_CD28",0.0202004891625977,0.0685164060639763,3,"Bcell","CAF",1
"Bcell->CAF","pos","CD80_CD28",0.00808469351553013,0.0274218183210383,4,"Bcell","CAF",1
"Bcell->CAF","pos","CXCL9_CXCR3",0.000358703925083705,0.00121665884375132,5,"Bcell","CAF",1
"Bcell->CD4conv","neg","IL10_IL10RA",2.67032608896801,0.520484991502834,1,"Bcell","CD4conv",-1
"Bcell->CD4conv","neg","LGALS9_HAVCR2",1.94545847248067,0.379197859280754,2,"Bcell","CD4conv",-1
"Bcell->CD4conv","neg","PVR_TIGIT",0.359833024953128,0.0701366360119517,3,"Bcell","CD4conv",-1
"Bcell->CD4conv","neg","CD274_PDCD1",0.0987743772566361,0.0192525478890057,4,"Bcell","CD4conv",-1
"Bcell->CD4conv","neg","TGFB1_TGFBR1",0.0488107973192211,0.0095139269817641,5,"Bcell","CD4conv",-1
"Bcell->CD4conv","neg","FASLG_FAS",0.00725466346753071,0.00141403833369014,6,"Bcell","CD4conv",-1
"Bcell->CD4conv","pos","CCL5_CCR5",3.61018665314492,0.684846270515256,1,"Bcell","CD4conv",1
"Bcell->CD4conv","pos","CD86_CD28",1.02620633050084,0.194669596268776,2,"Bcell","CD4conv",1
"Bcell->CD4conv","pos","CD80_CD28",0.410711027788261,0.0779111837320804,3,"Bcell","CD4conv",1
"Bcell->CD4conv","pos","IL12A_IL12RB1",0.162861800349657,0.0308946066491332,4,"Bcell","CD4conv",1
"Bcell->CD4conv","pos","IFNG_IFNGR1",0.0564732083866792,0.0107128716222905,5,"Bcell","CD4conv",1
"Bcell->CD4conv","pos","CXCL9_CXCR3",0.00508950904063177,0.000965471212463217,6,"Bcell","CD4conv",1
"Bcell->CD8","neg","LGALS9_HAVCR2",5.42357126806411,0.517944829550766,1,"Bcell","CD8",-1
"Bcell->CD8","neg","IL10_IL10RA",4.00772029112472,0.382732686725562,2,"Bcell","CD8",-1
"Bcell->CD8","neg","PVR_TIGIT",0.783667270248467,0.0748393246168658,3,"Bcell","CD8",-1
"Bcell->CD8","neg","CD274_PDCD1",0.198456172820953,0.0189523366661199,4,"Bcell","CD8",-1
"Bcell->CD8","neg","TGFB1_TGFBR1",0.0500102406459339,0.0047759205672606,5,"Bcell","CD8",-1
"Bcell->CD8","neg","FASLG_FAS",0.00790482668678977,0.000754901873425383,6,"Bcell","CD8",-1
"Bcell->CD8","pos","CCL5_CCR5",7.14728577449917,0.860904818987951,1,"Bcell","CD8",1
"Bcell->CD8","pos","CD86_CD28",0.67111238204946,0.0808368242179806,2,"Bcell","CD8",1
"Bcell->CD8","pos","CD80_CD28",0.268594383020848,0.0323527288527856,3,"Bcell","CD8",1
"Bcell->CD8","pos","IL12A_IL12RB1",0.161776337034519,0.0194862822818912,4,"Bcell","CD8",1
"Bcell->CD8","pos","IFNG_IFNGR1",0.0443381121936454,0.005340613997628,5,"Bcell","CD8",1
"Bcell->CD8","pos","CXCL9_CXCR3",0.00895569787806121,0.00107873166176335,6,"Bcell","CD8",1
"Bcell->Endo","neg","LGALS9_HAVCR2",0.817037361812563,0.971056452037842,1,"Bcell","Endo",-1
"Bcell->Endo","neg","TGFB1_TGFBR1",0.021511249070092,0.0255663182336794,2,"Bcell","Endo",-1
"Bcell->Endo","neg","CD274_PDCD1",0.00243783638530116,0.00289739106386469,3,"Bcell","Endo",-1
"Bcell->Endo","neg","FASLG_FAS",0.000403731539818548,0.000479838664614108,4,"Bcell","Endo",-1
"Bcell->Endo","pos","IFNG_IFNGR1",0.24100749190184,0.707773179927831,1,"Bcell","Endo",1
"Bcell->Endo","pos","IL12A_IL12RB1",0.0689447225292339,0.202471819936753,2,"Bcell","Endo",1
"Bcell->Endo","pos","CD86_CD28",0.021785823265814,0.0639790128037641,3,"Bcell","Endo",1
"Bcell->Endo","pos","CD80_CD28",0.00871918014805947,0.0256058507188197,4,"Bcell","Endo",1
"Bcell->Endo","pos","CXCL9_CXCR3",5.79340945690524e-05,0.000170136612832262,5,"Bcell","Endo",1
"Bcell->Macrophage","neg","LGALS9_HAVCR2",4.7324603443529,0.506029927109483,1,"Bcell","Macrophage",-1
"Bcell->Macrophage","neg","IL10_IL10RA",4.45408470241562,0.476263928971396,2,"Bcell","Macrophage",-1
"Bcell->Macrophage","neg","TGFB1_TGFBR1",0.148525350726905,0.0158814373356409,3,"Bcell","Macrophage",-1
"Bcell->Macrophage","neg","PVR_TIGIT",0.0121363643897395,0.00129771052278173,4,"Bcell","Macrophage",-1
"Bcell->Macrophage","neg","FASLG_FAS",0.00323388595883666,0.000345791186181457,5,"Bcell","Macrophage",-1
"Bcell->Macrophage","neg","CD274_PDCD1",0.00169465250356897,0.000181204874517372,6,"Bcell","Macrophage",-1
"Bcell->Macrophage","pos","CCL5_CCR5",5.648644711417,0.87493557299553,1,"Bcell","Macrophage",1
"Bcell->Macrophage","pos","IFNG_IFNGR1",0.387099572787635,0.0599590173973453,2,"Bcell","Macrophage",1
"Bcell->Macrophage","pos","CD86_CD28",0.22430238078283,0.0347428705611149,3,"Bcell","Macrophage",1
"Bcell->Macrophage","pos","IL12A_IL12RB1",0.106215084341912,0.0164519739560938,4,"Bcell","Macrophage",1
"Bcell->Macrophage","pos","CD80_CD28",0.0897708955875463,0.0139048840884716,5,"Bcell","Macrophage",1
"Bcell->Macrophage","pos","CXCL9_CXCR3",3.66769391462054e-05,5.68100144495677e-06,6,"Bcell","Macrophage",1
"Bcell->NK","neg","LGALS9_HAVCR2",4.48206807936507,0.549043997882689,1,"Bcell","NK",-1
"Bcell->NK","neg","IL10_IL10RA",3.10434414941071,0.380275688011781,2,"Bcell","NK",-1
"Bcell->NK","neg","PVR_TIGIT",0.36595560785712,0.0448287992122435,3,"Bcell","NK",-1
"Bcell->NK","neg","TGFB1_TGFBR1",0.198763027444336,0.0243480565861383,4,"Bcell","NK",-1
"Bcell->NK","neg","CD274_PDCD1",0.00775423116394761,0.000949877155673066,5,"Bcell","NK",-1
"Bcell->NK","neg","FASLG_FAS",0.00451910669806985,0.000553581151475547,6,"Bcell","NK",-1
"Bcell->NK","pos","CCL5_CCR5",1.0396219804136,0.752326752309958,1,"Bcell","NK",1
"Bcell->NK","pos","IL12A_IL12RB1",0.159917101878676,0.115724673161817,2,"Bcell","NK",1
"Bcell->NK","pos","IFNG_IFNGR1",0.123091319425551,0.0890755431547637,3,"Bcell","NK",1
"Bcell->NK","pos","CD86_CD28",0.0380608248858523,0.027542873579125,4,"Bcell","NK",1
"Bcell->NK","pos","CD80_CD28",0.0152328045956491,0.0110232821409352,5,"Bcell","NK",1
"Bcell->NK","pos","CXCL9_CXCR3",0.0059515663671875,0.0043068756534005,6,"Bcell","NK",1
"Bcell->Treg","neg","IL10_IL10RA",4.31179021721679,0.552407121401086,1,"Bcell","Treg",-1
"Bcell->Treg","neg","LGALS9_HAVCR2",2.47297664705651,0.316826617732435,2,"Bcell","Treg",-1
"Bcell->Treg","neg","PVR_TIGIT",0.857230133292461,0.109824459552678,3,"Bcell","Treg",-1
"Bcell->Treg","neg","CD274_PDCD1",0.0874121561085352,0.0111988513120536,4,"Bcell","Treg",-1
"Bcell->Treg","neg","TGFB1_TGFBR1",0.0615203147399963,0.0078817053384259,5,"Bcell","Treg",-1
"Bcell->Treg","neg","FASLG_FAS",0.0145278658081055,0.00186124466332155,6,"Bcell","Treg",-1
"Bcell->Treg","pos","CCL5_CCR5",6.49347102060838,0.779504645077915,1,"Bcell","Treg",1
"Bcell->Treg","pos","CD86_CD28",1.15059318030537,0.138122234748801,2,"Bcell","Treg",1
"Bcell->Treg","pos","CD80_CD28",0.460493463745003,0.0552796482617731,3,"Bcell","Treg",1
"Bcell->Treg","pos","IL12A_IL12RB1",0.169326245312109,0.0203266626332037,4,"Bcell","Treg",1
"Bcell->Treg","pos","IFNG_IFNGR1",0.0450096067225342,0.00540314993352483,5,"Bcell","Treg",1
"Bcell->Treg","pos","CXCL9_CXCR3",0.0113596275445435,0.00136365934478246,6,"Bcell","Treg",1
"Bcell->Tumor","neg","LGALS9_HAVCR2",0.610333516298382,0.680247349260944,1,"Bcell","Tumor",-1
"Bcell->Tumor","neg","TGFB1_TGFBR1",0.150444707083074,0.167678179996211,2,"Bcell","Tumor",-1
"Bcell->Tumor","neg","IL10_IL10RA",0.123090314262455,0.137190335711133,3,"Bcell","Tumor",-1
"Bcell->Tumor","neg","PVR_TIGIT",0.00826162767622613,0.00920799886825513,4,"Bcell","Tumor",-1
"Bcell->Tumor","neg","CD274_PDCD1",0.00265938617249636,0.00296401941920792,5,"Bcell","Tumor",-1
"Bcell->Tumor","neg","FASLG_FAS",0.00243337331770212,0.00271211674424894,6,"Bcell","Tumor",-1
"Bcell->Tumor","pos","IFNG_IFNGR1",0.122187101904337,0.379024230452284,1,"Bcell","Tumor",1
"Bcell->Tumor","pos","CCL5_CCR5",0.0913637464891781,0.283410222229595,2,"Bcell","Tumor",1
"Bcell->Tumor","pos","IL12A_IL12RB1",0.0603274734004192,0.187135743661606,3,"Bcell","Tumor",1
"Bcell->Tumor","pos","CD86_CD28",0.0345770129382099,0.107257848954502,4,"Bcell","Tumor",1
"Bcell->Tumor","pos","CD80_CD28",0.0138385041093727,0.0429270216652842,5,"Bcell","Tumor",1
"Bcell->Tumor","pos","CXCL9_CXCR3",7.8959748517676e-05,0.000244933036729597,6,"Bcell","Tumor",1
"CAF->Bcell","neg","IL10_IL10RA",0.897397660815176,0.659687682811306,1,"CAF","Bcell",-1
"CAF->Bcell","neg","LGALS9_HAVCR2",0.305289369075449,0.224421842474344,2,"CAF","Bcell",-1
"CAF->Bcell","neg","PVR_TIGIT",0.0770429811741043,0.0566352108400331,3,"CAF","Bcell",-1
"CAF->Bcell","neg","TGFB1_TGFBR1",0.0691481047122855,0.0508315933507164,4,"CAF","Bcell",-1
"CAF->Bcell","neg","CD274_PDCD1",0.0111774794829346,0.0082166979720785,5,"CAF","Bcell",-1
"CAF->Bcell","neg","FASLG_FAS",0.000281552450390625,0.000206972551521159,6,"CAF","Bcell",-1
"CAF->Bcell","pos","CXCL9_CXCR3",0.152658881896875,0.616734282346009,1,"CAF","Bcell",1
"CAF->Bcell","pos","CCL5_CCR5",0.0948689210268938,0.383265717653991,2,"CAF","Bcell",1
"CAF->CAF","neg","TGFB1_TGFBR1",0.229123347375096,0.616971074277346,1,"CAF","CAF",-1
"CAF->CAF","neg","LGALS9_HAVCR2",0.105062197978667,0.282905857894615,2,"CAF","CAF",-1
"CAF->CAF","neg","PVR_TIGIT",0.0334606514106122,0.0901010494274452,3,"CAF","CAF",-1
"CAF->CAF","neg","FASLG_FAS",0.00372185747295918,0.0100220184005935,4,"CAF","CAF",-1
"CAF->CAF","pos","CXCL9_CXCR3",0.041112754622449,1,1,"CAF","CAF",1
"CAF->CD4conv","neg","PVR_TIGIT",2.19404791024651,0.486779359976964,1,"CAF","CD4conv",-1
"CAF->CD4conv","neg","IL10_IL10RA",1.51259167005122,0.335589027757964,2,"CAF","CD4conv",-1
"CAF->CD4conv","neg","LGALS9_HAVCR2",0.39301726806389,0.0871962245284518,3,"CAF","CD4conv",-1
"CAF->CD4conv","neg","CD274_PDCD1",0.321366135066329,0.0712994464775758,4,"CAF","CD4conv",-1
"CAF->CD4conv","neg","TGFB1_TGFBR1",0.0841359481902328,0.018666704049546,5,"CAF","CD4conv",-1
"CAF->CD4conv","neg","FASLG_FAS",0.00211498063303055,0.00046923720949859,6,"CAF","CD4conv",-1
"CAF->CD4conv","pos","CCL5_CCR5",1.94690846393839,0.769455685175774,1,"CAF","CD4conv",1
"CAF->CD4conv","pos","CXCL9_CXCR3",0.583332720118415,0.230544314824226,2,"CAF","CD4conv",1
"CAF->CD8","neg","PVR_TIGIT",4.77833722138541,0.538201701045059,1,"CAF","CD8",-1
"CAF->CD8","neg","IL10_IL10RA",2.27015133218927,0.255695496572703,2,"CAF","CD8",-1
"CAF->CD8","neg","LGALS9_HAVCR2",1.09565801227636,0.123407992916794,3,"CAF","CD8",-1
"CAF->CD8","neg","CD274_PDCD1",0.645684589575484,0.0727258308377304,4,"CAF","CD8",-1
"CAF->CD8","neg","TGFB1_TGFBR1",0.086203447742298,0.00970941146707141,5,"CAF","CD8",-1
"CAF->CD8","neg","FASLG_FAS",0.00230452527878788,0.000259567160641996,6,"CAF","CD8",-1
"CAF->CD8","pos","CCL5_CCR5",3.85440214190508,0.789697811609757,1,"CAF","CD8",1
"CAF->CD8","pos","CXCL9_CXCR3",1.02645492169509,0.210302188390243,2,"CAF","CD8",1
"CAF->Endo","neg","LGALS9_HAVCR2",0.165056101884433,0.785290839009261,1,"CAF","Endo",-1
"CAF->Endo","neg","TGFB1_TGFBR1",0.0370792823856567,0.176412870787904,2,"CAF","Endo",-1
"CAF->Endo","neg","CD274_PDCD1",0.00793159196572581,0.0377362995874276,3,"CAF","Endo",-1
"CAF->Endo","neg","FASLG_FAS",0.000117701447004608,0.000559990615406446,4,"CAF","Endo",-1
"CAF->Endo","pos","CXCL9_CXCR3",0.0066401007843318,1,1,"CAF","Endo",1
"CAF->Macrophage","neg","IL10_IL10RA",2.52299202198939,0.661247108162252,1,"CAF","Macrophage",-1
"CAF->Macrophage","neg","LGALS9_HAVCR2",0.956041294156565,0.250567395986551,2,"CAF","Macrophage",-1
"CAF->Macrophage","neg","TGFB1_TGFBR1",0.256015510911847,0.0670987124650734,3,"CAF","Macrophage",-1
"CAF->Macrophage","neg","PVR_TIGIT",0.0740003364915342,0.0193946346566237,4,"CAF","Macrophage",-1
"CAF->Macrophage","neg","CD274_PDCD1",0.00551361537757353,0.0014450549950866,5,"CAF","Macrophage",-1
"CAF->Macrophage","neg","FASLG_FAS",0.000942787519087635,0.000247093734413237,6,"CAF","Macrophage",-1
"CAF->Macrophage","pos","CCL5_CCR5",3.04621208126691,0.998621919807975,1,"CAF","Macrophage",1
"CAF->Macrophage","pos","CXCL9_CXCR3",0.00420371758984394,0.00137808019202478,2,"CAF","Macrophage",1
"CAF->NK","neg","PVR_TIGIT",2.23137978168206,0.423859440881952,1,"CAF","NK",-1
"CAF->NK","neg","IL10_IL10RA",1.75843883665368,0.334022432329871,2,"CAF","NK",-1
"CAF->NK","neg","LGALS9_HAVCR2",0.905457596112185,0.171995262115856,3,"CAF","NK",-1
"CAF->NK","neg","TGFB1_TGFBR1",0.342610993830357,0.0650803173341815,4,"CAF","NK",-1
"CAF->NK","neg","CD274_PDCD1",0.0252286814534314,0.00479228811824197,5,"CAF","NK",-1
"CAF->NK","neg","FASLG_FAS",0.00131747298655462,0.000250259219897191,6,"CAF","NK",-1
"CAF->NK","pos","CXCL9_CXCR3",0.682137190487395,0.548877191153701,1,"CAF","NK",1
"CAF->NK","pos","CCL5_CCR5",0.560649359002101,0.451122808846299,2,"CAF","NK",1
"CAF->Treg","neg","PVR_TIGIT",5.22687983626754,0.610364892776831,1,"CAF","Treg",-1
"CAF->Treg","neg","IL10_IL10RA",2.4423900858082,0.285208233122123,2,"CAF","Treg",-1
"CAF->Treg","neg","LGALS9_HAVCR2",0.499585336598136,0.058338695351249,3,"CAF","Treg",-1
"CAF->Treg","neg","CD274_PDCD1",0.28439872309625,0.0332104432407359,4,"CAF","Treg",-1
"CAF->Treg","neg","TGFB1_TGFBR1",0.106043545647489,0.0123831538884246,5,"CAF","Treg",-1
"CAF->Treg","neg","FASLG_FAS",0.00423536597678571,0.000494581620636118,6,"CAF","Treg",-1
"CAF->Treg","pos","CCL5_CCR5",3.50181165268788,0.728968159133371,1,"CAF","Treg",1
"CAF->Treg","pos","CXCL9_CXCR3",1.30198067872339,0.271031840866629,2,"CAF","Treg",1
"CAF->Tumor","neg","TGFB1_TGFBR1",0.259323936010603,0.506410625888638,1,"CAF","Tumor",-1
"CAF->Tumor","neg","LGALS9_HAVCR2",0.123298242844298,0.240778160667735,2,"CAF","Tumor",-1
"CAF->Tumor","neg","IL10_IL10RA",0.0697238381434268,0.136157475691435,3,"CAF","Tumor",-1
"CAF->Tumor","neg","PVR_TIGIT",0.050374495060924,0.0983718663424252,4,"CAF","Tumor",-1
"CAF->Tumor","neg","CD274_PDCD1",0.00865241249442124,0.0168965259981531,5,"CAF","Tumor",-1
"CAF->Tumor","neg","FASLG_FAS",0.000709410913808387,0.00138534541161386,6,"CAF","Tumor",-1
"CAF->Tumor","pos","CCL5_CCR5",0.0492708184996335,0.844824568425413,1,"CAF","Tumor",1
"CAF->Tumor","pos","CXCL9_CXCR3",0.00904995049914763,0.155175431574587,2,"CAF","Tumor",1
"CD4conv->Bcell","neg","IL10_IL10RA",1.76998329970273,0.676866986337028,1,"CD4conv","Bcell",-1
"CD4conv->Bcell","neg","LGALS9_HAVCR2",0.74798484499788,0.286040127013919,2,"CD4conv","Bcell",-1
"CD4conv->Bcell","neg","TGFB1_TGFBR1",0.0455777780617871,0.0174295956836435,3,"CD4conv","Bcell",-1
"CD4conv->Bcell","neg","FASLG_FAS",0.031684976083182,0.0121167890551206,4,"CD4conv","Bcell",-1
"CD4conv->Bcell","neg","PVR_TIGIT",0.0124195170157697,0.00474940133934446,5,"CD4conv","Bcell",-1
"CD4conv->Bcell","neg","CD274_PDCD1",0.00731431935387125,0.00279710057094489,6,"CD4conv","Bcell",-1
"CD4conv->Bcell","pos","IFNG_IFNGR1",1.08242069069251,0.803264443981791,1,"CD4conv","Bcell",1
"CD4conv->Bcell","pos","CCL5_CCR5",0.211649288055768,0.157064946329222,2,"CD4conv","Bcell",1
"CD4conv->Bcell","pos","IL12A_IL12RB1",0.0333179461117257,0.0247252493306721,3,"CD4conv","Bcell",1
"CD4conv->Bcell","pos","CXCL9_CXCR3",0.0094489275301707,0.00701204955153887,4,"CD4conv","Bcell",1
"CD4conv->Bcell","pos","CD80_CD28",0.00865753656208886,0.00642475827799368,5,"CD4conv","Bcell",1
"CD4conv->Bcell","pos","CD86_CD28",0.00203281557198776,0.00150855252878212,6,"CD4conv","Bcell",1
"CD4conv->CAF","neg","FASLG_FAS",0.418845457931949,0.503012903877728,1,"CD4conv","CAF",-1
"CD4conv->CAF","neg","LGALS9_HAVCR2",0.257411295087673,0.309138372115317,2,"CD4conv","CAF",-1
"CD4conv->CAF","neg","TGFB1_TGFBR1",0.151022694242847,0.18137086733044,3,"CD4conv","CAF",-1
"CD4conv->CAF","neg","PVR_TIGIT",0.00539393885360859,0.00647785667651524,4,"CD4conv","CAF",-1
"CD4conv->CAF","pos","IFNG_IFNGR1",1.45552203197274,0.983038947220368,1,"CD4conv","CAF",1
"CD4conv->CAF","pos","IL12A_IL12RB1",0.0185964987618833,0.012559811643723,2,"CD4conv","CAF",1
"CD4conv->CAF","pos","CD80_CD28",0.00321665065436416,0.0021724802533948,3,"CD4conv","CAF",1
"CD4conv->CAF","pos","CXCL9_CXCR3",0.00254470250381916,0.00171865599791228,4,"CD4conv","CAF",1
"CD4conv->CAF","pos","CD86_CD28",0.000755279229021057,0.000510104884601415,5,"CD4conv","CAF",1
"CD4conv->CD4conv","neg","IL10_IL10RA",2.9833619053878,0.621050002989119,1,"CD4conv","CD4conv",-1
"CD4conv->CD4conv","neg","LGALS9_HAVCR2",0.962925637484635,0.200453377432396,2,"CD4conv","CD4conv",-1
"CD4conv->CD4conv","neg","PVR_TIGIT",0.353685889868957,0.0736272131663397,3,"CD4conv","CD4conv",-1
"CD4conv->CD4conv","neg","FASLG_FAS",0.238012884210357,0.0495474257358249,4,"CD4conv","CD4conv",-1
"CD4conv->CD4conv","neg","CD274_PDCD1",0.210295580947676,0.04377748168611,5,"CD4conv","CD4conv",-1
"CD4conv->CD4conv","neg","TGFB1_TGFBR1",0.0554567560396363,0.0115444989902108,6,"CD4conv","CD4conv",-1
"CD4conv->CD4conv","pos","CCL5_CCR5",4.34348557822744,0.86012884865433,1,"CD4conv","CD4conv",1
"CD4conv->CD4conv","pos","IFNG_IFNGR1",0.427445587840789,0.0846459081560738,2,"CD4conv","CD4conv",1
"CD4conv->CD4conv","pos","CD80_CD28",0.163409273802639,0.0323595020643912,3,"CD4conv","CD4conv",1
"CD4conv->CD4conv","pos","IL12A_IL12RB1",0.0409928315701633,0.00811770095387643,4,"CD4conv","CD4conv",1
"CD4conv->CD4conv","pos","CD86_CD28",0.0383689879922458,0.00759810821779459,5,"CD4conv","CD4conv",1
"CD4conv->CD4conv","pos","CXCL9_CXCR3",0.036105783888157,0.00714993195353401,6,"CD4conv","CD4conv",1
"CD4conv->CD8","neg","IL10_IL10RA",4.4775355689282,0.51638312047057,1,"CD4conv","CD8",-1
"CD4conv->CD8","neg","LGALS9_HAVCR2",2.68445504986018,0.309591571986462,2,"CD4conv","CD8",-1
"CD4conv->CD8","neg","PVR_TIGIT",0.770279648109315,0.0888344497106639,3,"CD4conv","CD8",-1
"CD4conv->CD8","neg","CD274_PDCD1",0.422523100779466,0.0487285458468461,4,"CD4conv","CD8",-1
"CD4conv->CD8","neg","FASLG_FAS",0.259343608056602,0.0299094579017318,5,"CD4conv","CD8",-1
